gene_name,log2FoldChange,neg_log_q
PIM2,1.384228344,1.949464421
SARDH,1.384096156,1.774539052
MIAT,1.37857323,1.872602864
RP11-178A10.1,1.375464403,2.577446271
CKMT1B,1.374951418,1.339616771
LINC00173,1.374653837,1.446542742
CCNA1,1.365918516,1.592375082
HEATR8,1.364443443,2.016634729
PLEK2,1.361532335,1.313062751
HOXD9,1.356984029,1.308201674
TAGAP,1.356441815,1.998797888
CARD11,1.35374898,1.899272067
CMTM7,1.353088109,1.810316669
IRX2,1.349449801,1.722623488
DTNB,1.349002619,1.73790437
PLAT,1.347226653,2.05553776
AC104699.1,1.344424247,1.475953674
EYA2,1.342236788,2.150192475
SALL1,1.341374158,4.124360063
RP11-709B3.2,1.337119397,1.320317988
LAMP3,1.336629022,1.669346112
TNFRSF19,1.336173415,1.60940752
APOBEC3H,1.33340644,1.402529444
PLXDC1,1.329566296,1.873903286
FGF1,1.323671848,1.481940952
SULT4A1,1.322058621,2.294160055
BRSK1,1.317876657,1.889282949
RP11-5N23.2,1.311538576,1.595349752
TPRG1,1.311303356,4.093126465
FAXC,1.305865117,1.74668703
SLC25A37,1.305421744,1.471149875
AC093642.3,1.305374467,1.362925921
PTPRT,1.303379305,1.704396267
SCNN1G,1.302518148,2.036293186
PDGFA,1.294327604,1.501043022
SLC2A9,1.293742219,1.58348549
ADORA2B,1.29169253,1.619658869
FAM189A2,1.290893937,1.561135949
IKZF3,1.287028142,1.71631563
CD96,1.285630068,2.392819259
RP11-152H18.3,1.283837234,1.480091689
ROR2,1.28164131,1.735639702
DLK2,1.281259906,1.4578877
FAM160A1,1.280525669,1.653186683
OXGR1,1.278654601,1.341508844
DMKN,1.275871568,1.660346783
CTD-2258A20.4,1.275348757,1.361235428
RP11-4F5.2,1.274355048,1.683874197
ST5,1.269878569,1.451991048
DST,1.267270232,1.743120975
RP11-430C7.5,1.264160659,2.021431166
PAMR1,1.263531013,1.481031158
SP6,1.261169687,1.385152067
OBSCN,1.259413459,1.632398539
LCK,1.258554001,2.084457077
FBXO32,1.255977629,1.787871336
ANKRD65,1.246733758,1.446966656
CD8B,1.244096617,1.51454924
AC074289.1,1.243607413,1.354397212
ST14,1.242387429,1.378228115
RTP4,1.241297787,1.516105611
PSTPIP2,1.240390983,1.520520153
RP11-276H19.1,1.238341119,1.837161483
EPS8L2,1.231470673,1.376973343
RUNX2,1.227583604,1.710789325
CD69,1.227293478,2.044650631
HAPLN3,1.226029146,1.716008882
CACNB1,1.221054883,1.418645126
DSC2,1.213978907,1.50536052
AC091132.3,1.213875451,1.331703328
RP11-558F24.4,1.210553194,1.559193335
FAM70A,1.208114656,1.443655435
KCNK1,1.19733737,1.489943524
PRKCQ,1.186933974,1.467382706
UNC5C,1.184447173,1.53551549
HTRA4,1.183967832,1.39330743
ERCC6L,1.182985967,2.890058174
SLFN13,1.171988788,1.556918218
LRRN2,1.17147896,1.481113043
AC078937.4,1.171167367,1.56796556
RP11-747H7.3,1.161838272,1.443655435
TBX21,1.15222101,1.465953056
SLC12A2,1.151845497,1.305585415
ITGAX,1.142403654,1.911013916
CD6,1.14052985,1.460129668
CCDC88B,1.134921327,1.347559083
PVT1,1.126288068,1.398429745
AP001065.15,1.107914753,1.622472996
PDCD1,1.089253535,1.325230548
CXCR6,1.08898688,1.550221247
CYTIP,1.052105512,1.659306188
ZAP70,1.035164061,1.344653682
HIST1H3E,0.9354723,2.811799886
ADAMTSL1,0.925305782,1.937003209
XG,0.910254804,5.177831921
ZNF534,0.891985406,1.476149042
ITK,0.888706241,1.381776599
NLRP3,0.864522096,1.381771912
RP11-575H3.1,0.843714205,1.50180435
PLEKHA7,0.823155915,1.348179379
LVRN,0.756235625,1.767706262
KDM6A,0.719817801,4.6566308
OSR1,0.699149448,1.547726185
RP11-706O15.1,0.651465436,1.393489785
CASP1,0.625557583,1.384401964
ZFX,0.571039656,1.641007126
OLFML3,-0.603997266,1.344499301
AC002066.1,-0.703298875,1.829943625
GS1-358P8.4,-0.704794541,1.745124477
ADA,-0.732532628,1.344499301
SLC12A8,-0.774249513,1.564516911
RP11-96H19.1,-0.7867137,1.573102486
SCML2,-0.81290312,1.497150086
GRTP1-AS1,-0.858963613,1.724124061
KCNIP3,-0.864715715,1.74495877
EPHX4,-0.88206386,3.268454747
CYTL1,-0.892502049,1.46537408
DDX43,-0.895453489,1.861618031
AFF2,-1.028845883,1.365850973
PLCXD1,-1.08266655,1.366679513
CLCNKA,-1.125318813,1.474503476
RP11-169D4.2,-1.166755914,1.308642071
C2orf72,-1.170500602,1.83562195
RP11-20D14.6,-1.171012324,2.315236211
IRF4,-1.185644398,2.677176836
RASGRF2,-1.220020647,1.315716561
FGF10,-1.231902346,1.46769728
GGT7,-1.240361154,3.083892572
RP4-610C12.3,-1.24580196,5.071982442
RHOBTB3,-1.253279028,1.606837827
KIAA1462,-1.266851854,1.640433294
PDE2A,-1.267971011,1.323762941
HOXB7,-1.28199724,1.640433294
KCNE3,-1.290190161,1.328486365
TMEM132B,-1.314051937,1.37711209
SHISA6,-1.333888908,1.466398046
PANK1,-1.335429263,1.946382367
PRR16,-1.336443874,1.526950683
AC017076.4,-1.352681767,1.773026015
CTD-2193P3.2,-1.394550594,1.549472155
AP000330.8,-1.396871711,1.824395655
PLAG1,-1.398155275,1.533017611
MS4A7,-1.414110481,1.724011996
RP4-610C12.4,-1.421542488,4.882397308
CCDC85A,-1.44511944,1.732380663
RP11-497G19.1,-1.454150054,1.586064703
